Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Chr	Strand	Start	End	Ensembl ID
Gm28653	old symbol	MGI:5818206	Lincmd1	long intergenic non-protein coding RNA of muscle differentiation 1	lncRNA gene	1	+	20740106	20753182	ENSMUSG00000099906
4933415F23Rik	old symbol	MGI:1914005	Ppp1r14bl	protein phosphatase 1, regulatory inhibitor subunit 14B like	protein coding gene	1	-	23139554	23141334	ENSMUSG00000073730
Ptp4a1.1		No associated gene								
Pih1d3	human synonym	MGI:3607720	Dnaaf6	dynein axonemal assembly factor 6	protein coding gene	X	+	138963628	139007546	ENSMUSG00000042433
Pih1d3	old symbol	MGI:1921958	Dnaaf6rt	dynein axonemal assembly factor 6, retrotransposed	protein coding gene	1	+	31261920	31263368	ENSMUSG00000026063
Gm5415	old symbol	MGI:3644687	Semp2l1	SUMO/sentrin specific peptidase 2-like 1	protein coding gene	1	-	32582767	32586375	ENSMUSG00000091318
Arhgef4.1		No associated gene								
2010300C02Rik	old symbol	MGI:1919347	Cracdl	capping protein inhibiting regulator of actin like	protein coding gene	1	-	37650758	37758905	ENSMUSG00000026090
Gm553	current symbol	MGI:2685399	Gm553	predicted gene 553	lncRNA gene	1	+	52562058	52621838	
Asdurf	current symbol	MGI:5905289	Asdurf	Asnsd1 upstream reading frame	protein coding gene	1	-	53387638	53391778	ENSMUSG00000117809
Fam126b	old symbol	MGI:1098784	Hycc2	hyccin PI4KA lipid kinase complex subunit 2	protein coding gene	1	-	58561965	58625482	ENSMUSG00000038174
AC169382.1		No associated gene								
Gpr1	old symbol	MGI:2385324	Cmklr2	chemerin chemokine-like receptor 2	protein coding gene	1	-	63221850	63253702	ENSMUSG00000046856
March4	old symbol	MGI:2683550	Marchf4	membrane associated ring-CH-type finger 4	protein coding gene	1	-	72466271	72576089	ENSMUSG00000039372
Gm9747	current symbol	MGI:3710571	Gm9747	predicted gene 9747	protein coding gene	1	+	82210833	82213654	ENSMUSG00000022591
G530012D18Rik	current symbol	MGI:3642025	G530012D18Rik	RIKEN cDNA G530012D1 gene	protein coding gene	1	+	85503397	85505016	ENSMUSG00000094127
Olfr1416	old symbol	MGI:3031250	Or6b2	olfactory receptor family 6 subfamily B member 2	protein coding gene	1	-	92407403	92408341	ENSMUSG00000067064
Olfr1415	old symbol	MGI:3031249	Or6b2b	olfactory receptor family 6 subfamily B member 2B	protein coding gene	1	-	92418540	92419475	ENSMUSG00000057464
Olfr1414	old symbol	MGI:3031248	Or6b3	olfactory receptor family 6 subfamily B member 3	protein coding gene	1	-	92438770	92446237	ENSMUSG00000042849
Olfr1413	old symbol	MGI:3031247	Or9s23	olfactory receptor family 9 subfamily S member 23	protein coding gene	1	+	92500847	92501928	ENSMUSG00000058904
Olfr1412	old symbol	MGI:3031246	Or9s27	olfactory receptor family 9 subfamily S member 27	protein coding gene	1	+	92516054	92517019	ENSMUSG00000046300
