Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Chr	Strand	Start	End
Gm28653	old symbol	MGI:5818206	Lincmd1	long intergenic non-protein coding RNA of muscle differentiation 1	lncRNA gene	1	+	20740106	20753182
4933415F23Rik	old symbol	MGI:1914005	Ppp1r14bl	protein phosphatase 1, regulatory inhibitor subunit 14B like	protein coding gene	1	-	23139554	23141334
Ptp4a1.1		No associated gene							
Pih1d3	human synonym	MGI:3607720	Dnaaf6	dynein axonemal assembly factor 6	protein coding gene	X	+	138963628	139007546
Pih1d3	old symbol	MGI:1921958	Dnaaf6rt	dynein axonemal assembly factor 6, retrotransposed	protein coding gene	1	+	31261920	31263368
Gm5415	old symbol	MGI:3644687	Semp2l1	SUMO/sentrin specific peptidase 2-like 1	protein coding gene	1	-	32582767	32586375
Arhgef4.1		No associated gene							
2010300C02Rik	old symbol	MGI:1919347	Cracdl	capping protein inhibiting regulator of actin like	protein coding gene	1	-	37650758	37758905
Gm8251	old symbol	MGI:3647616	Ccdc168	coiled-coil domain containing 168	protein coding gene	1	-	44095032	44118906
Fam126b	old symbol	MGI:1098784	Hycc2	hyccin PI4KA lipid kinase complex subunit 2	protein coding gene	1	-	58561965	58625482
AC169382.1		No associated gene							
Gpr1	old symbol	MGI:2385324	Cmklr2	chemerin chemokine-like receptor 2	protein coding gene	1	-	63221850	63253702
Gm39653	old symbol	MGI:5622538	Fam237a	family with sequence similarity 237, member A	protein coding gene	1	+	63655127	63659978
March4	old symbol	MGI:2683550	Marchf4	membrane associated ring-CH-type finger 4	protein coding gene	1	-	72466271	72576089
1700027A15Rik	old symbol	MGI:1916699	Teshl	testicular germ cell expressed HSF2 interacting lncRNA	lncRNA gene	1	+	73055195	73064667
C130026I21Rik	old symbol	MGI:3612702	Sp140l2	Sp140 nuclear body protein like 2	protein coding gene	1	-	85219007	85260602
A530032D15Rik	old symbol	MGI:3037746	Sp140l1	Sp140 nuclear body protein like 1	protein coding gene	1	-	85065860	85088016
Iqca	old symbol	MGI:1922168	Iqca1	IQ motif containing with AAA domain 1	protein coding gene	1	-	89969854	90081123
Olfr1416	old symbol	MGI:3031250	Or6b2	olfactory receptor family 6 subfamily B member 2	protein coding gene	1	-	92407403	92408341
Olfr1415	old symbol	MGI:3031249	Or6b2b	olfactory receptor family 6 subfamily B member 2B	protein coding gene	1	-	92418540	92419475
Olfr1414	old symbol	MGI:3031248	Or6b3	olfactory receptor family 6 subfamily B member 3	protein coding gene	1	-	92438770	92446237
Olfr1413	old symbol	MGI:3031247	Or9s23	olfactory receptor family 9 subfamily S member 23	protein coding gene	1	+	92500847	92501928
Olfr1412	old symbol	MGI:3031246	Or9s27	olfactory receptor family 9 subfamily S member 27	protein coding gene	1	+	92516054	92517019
Olfr1411	old symbol	MGI:3031245	Or9s15	olfactory receptor family 9 subfamily S member 15	protein coding gene	1	+	92524243	92525214
Olfr1410	old symbol	MGI:3031244	Or9s14	olfactory receptor family 9 subfamily S member 14	protein coding gene	1	+	92535561	92536529
Olfr12	old symbol	MGI:107863	Or9s13	olfactory receptor family 9 subfamily S member 13	protein coding gene	1	+	92547603	92548723
Sept2	old symbol	MGI:97298	Septin2	septin 2	protein coding gene	1	+	93406671	93437455
