"mgi_symbol"	"ensembl_gene_id"	"chromosome_name"	"start_position"	"end_position"	"Feature.Type"
"0610009E02Rik"	"ENSMUSG00000086714"	"2"	26335708	26349408	"RNA"
"0610039K10Rik"	"ENSMUSG00000058812"	"2"	163486770	163487721	"RNA"
"1110002O04Rik"	"ENSMUSG00000102531"	"1"	35918926	35920200	"RNA"
"1110015O18Rik"	"ENSMUSG00000098659"	"3"	4862388	4879971	"RNA"
"1110018N20Rik"	"ENSMUSG00000085151"	"2"	167030622	167034728	"RNA"
"1200007C13Rik"	"ENSMUSG00000087684"	"2"	167669613	167675566	"RNA"
"1600012P17Rik"	"ENSMUSG00000047661"	"1"	158795271	158808033	"RNA"
"1700001O22Rik"	"ENSMUSG00000044320"	"2"	30684781	30693673	"RNA"
"1700003F12Rik"	"ENSMUSG00000038523"	"2"	154389005	154391923	"RNA"
"1700003I22Rik"	"ENSMUSG00000100372"	"1"	56058137	56059362	"RNA"
"1700007F19Rik"	"ENSMUSG00000100666"	"3"	58049128	58071228	"RNA"
"1700007M16Rik"	"ENSMUSG00000086613"	"2"	171075929	171080911	"RNA"
"1700007P06Rik"	"ENSMUSG00000089730"	"1"	186857335	186860049	"RNA"
"1700008P02Rik"	"ENSMUSG00000069118"	"3"	6680478	6685503	"RNA"
"1700010B08Rik"	"ENSMUSG00000057047"	"2"	173561208	173563882	"RNA"
"1700010I02Rik"	"ENSMUSG00000100010"	"3"	7990363	8019949	"RNA"
"1700012E03Rik"	"ENSMUSG00000101275"	"1"	120363534	120366184	"RNA"
"1700016C15Rik"	"ENSMUSG00000015962"	"1"	177557380	177580890	"RNA"
"1700016L21Rik"	"ENSMUSG00000101483"	"1"	80405912	80457752	"RNA"
"1700017G19Rik"	"ENSMUSG00000037884"	"3"	40559016	40577061	"RNA"
"1700017J07Rik"	"ENSMUSG00000086348"	"2"	168820188	168820826	"RNA"
"1700017M07Rik"	"ENSMUSG00000105651"	"3"	35310611	35330280	"RNA"
"1700018B24Rik"	"ENSMUSG00000037910"	"3"	48560167	48563537	"RNA"
"1700019A02Rik"	"ENSMUSG00000060715"	"1"	53197736	53226795	"RNA"
"1700019D03Rik"	"ENSMUSG00000043629"	"1"	52961483	53059338	"RNA"
