Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Chr	Strand	Start	End
Xkr4	current symbol	MGI:3528744	Xkr4	X-linked Kx blood group related 4	protein coding gene	1	-	3276124	3741721
Gm1992	current symbol	MGI:3780162	Gm1992	predicted gene 1992	lncRNA gene	1	+	3536810	3583776
Gm19938	current symbol	MGI:5012123	Gm19938	predicted gene, 19938	lncRNA gene	1	-	3717532	3729127
Gm37381	current symbol	MGI:5610609	Gm37381	predicted gene, 37381	lncRNA gene	1	-	3975962	4056438
Rp1	current symbol	MGI:1341105	Rp1	retinitis pigmentosa 1 (human)	protein coding gene	1	-	4185896	4479489
Sox17	current symbol	MGI:107543	Sox17	SRY (sex determining region Y)-box 17	protein coding gene	1	-	4561154	4567577
Gm37587	current symbol	MGI:5610815	Gm37587	predicted gene, 37587	lncRNA gene	1	+	4566774	4569781
Gm37323	current symbol	MGI:5610551	Gm37323	predicted gene, 37323	lncRNA gene	1	-	4653352	4656475
Mrpl15	current symbol	MGI:1351639	Mrpl15	mitochondrial ribosomal protein L15	protein coding gene	1	-	4843429	4855962
Lypla1	current symbol	MGI:1344588	Lypla1	lysophospholipase 1	protein coding gene	1	+	4878046	4916958
Tcea1	current symbol	MGI:1196624	Tcea1	transcription elongation factor A (SII) 1	protein coding gene	1	+	4928037	4968132
Rgs20	current symbol	MGI:1929866	Rgs20	regulator of G-protein signaling 20	protein coding gene	1	-	4979799	5140508
Gm16041	current symbol	MGI:3801909	Gm16041	predicted gene 16041	lncRNA gene	1	+	5041080	5047043
Atp6v1h	current symbol	MGI:1914864	Atp6v1h	ATPase, H+ transporting, lysosomal V1 subunit H	protein coding gene	1	+	5153201	5233438
Oprk1	current symbol	MGI:97439	Oprk1	opioid receptor, kappa 1	protein coding gene	1	+	5658689	5676354
Npbwr1	current symbol	MGI:891989	Npbwr1	neuropeptides B/W receptor 1	protein coding gene	1	-	5983926	5987617
Rb1cc1	current symbol	MGI:1341850	Rb1cc1	RB1-inducible coiled-coil 1	protein coding gene	1	+	6284858	6346599
4732440D04Rik	current symbol	MGI:3604103	4732440D04Rik	RIKEN cDNA 4732440D04 gene	lncRNA gene	1	-	6234353	6285517
Alkal1	current symbol	MGI:3645495	Alkal1	ALK and LTK ligand 1	protein coding gene	1	+	6429555	6464955
St18	current symbol	MGI:2446700	St18	suppression of tumorigenicity 18	protein coding gene	1	+	6557455	6931164
Pcmtd1	current symbol	MGI:2441773	Pcmtd1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	protein coding gene	1	+	7159144	7243852
Gm26901	current symbol	MGI:5477395	Gm26901	predicted gene, 26901	lncRNA gene	1	-	7419630	7468093
Gm30414	current symbol	MGI:5589573	Gm30414	predicted gene, 30414	lncRNA gene	1	+	7568192	7588373
Sntg1	current symbol	MGI:1918346	Sntg1	syntrophin, gamma 1	protein coding gene	1	-	8431699	9370103
Rrs1	current symbol	MGI:1929721	Rrs1	ribosome biogenesis regulator 1	protein coding gene	1	+	9615633	9617680
Adhfe1	current symbol	MGI:1923437	Adhfe1	alcohol dehydrogenase, iron containing, 1	protein coding gene	1	+	9618173	9648195
2610203C22Rik	current symbol	MGI:1919731	2610203C22Rik	RIKEN cDNA 2610203C22 gene	lncRNA gene	1	-	9631057	9701317
Vxn	current symbol	MGI:1924232	Vxn	vexin	protein coding gene	1	+	9671492	9697367
Gm29520	current symbol	MGI:5580226	Gm29520	predicted gene 29520	lncRNA gene	1	-	9709480	9710807
Mybl1	current symbol	MGI:99925	Mybl1	myeloblastosis oncogene-like 1	protein coding gene	1	-	9737640	9770434
Vcpip1	current symbol	MGI:1917925	Vcpip1	valosin containing protein (p97)/p47 complex interacting protein 1	protein coding gene	1	-	9788847	9818607
1700034P13Rik	current symbol	MGI:1920581	1700034P13Rik	RIKEN cDNA 1700034P13 gene	lncRNA gene	1	+	9817873	9841481
Sgk3	current symbol	MGI:2182368	Sgk3	serum/glucocorticoid regulated kinase 3	protein coding gene	1	+	9868332	9971070
Mcmdc2	current symbol	MGI:3045334	Mcmdc2	minichromosome maintenance domain containing 2	protein coding gene	1	+	9978863	10011179
Snhg6	current symbol	MGI:1921074	Snhg6	small nucleolar RNA host gene 6	lncRNA gene	1	-	10012250	10014343
Tcf24	current symbol	MGI:3780500	Tcf24	transcription factor 24	protein coding gene	1	-	10030388	10038157
Ppp1r42	current symbol	MGI:1921138	Ppp1r42	protein phosphatase 1, regulatory subunit 42	protein coding gene	1	-	10038849	10079361
Gm15818	current symbol	MGI:3801960	Gm15818	predicted gene 15818	lncRNA gene	1	+	10052612	10062591
Cops5	current symbol	MGI:1349415	Cops5	COP9 signalosome subunit 5	protein coding gene	1	-	10094825	10108384
Cspp1	current symbol	MGI:2681832	Cspp1	centrosome and spindle pole associated protein 1	protein coding gene	1	+	10108212	10206993
Arfgef1	current symbol	MGI:2442988	Arfgef1	ADP ribosylation factor guanine nucleotide exchange factor 1	protein coding gene	1	-	10207796	10302895
Cpa6	current symbol	MGI:3045348	Cpa6	carboxypeptidase A6	protein coding gene	1	-	10394945	10790170
Prex2	current symbol	MGI:1923385	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	protein coding gene	1	+	11063689	11373905
A830018L16Rik	current symbol	MGI:2444149	A830018L16Rik	RIKEN cDNA A830018L16 gene	protein coding gene	1	+	11484329	12046125
Gm17644	current symbol	MGI:4937278	Gm17644	predicted gene, 17644	lncRNA gene	1	+	12737787	12743314
Gm29663	current symbol	MGI:5580369	Gm29663	predicted gene 29663	lncRNA gene	1	-	12740548	12741400
Sulf1	current symbol	MGI:2138563	Sulf1	sulfatase 1	protein coding gene	1	+	12762501	12931416
Slco5a1	current symbol	MGI:2443431	Slco5a1	solute carrier organic anion transporter family, member 5A1	protein coding gene	1	-	12936773	13062874
Gm29283	current symbol	MGI:5579989	Gm29283	predicted gene 29283	lncRNA gene	1	+	13139062	13148886
Prdm14	current symbol	MGI:3588194	Prdm14	PR domain containing 14	protein coding gene	1	-	13183681	13197387
Ncoa2	current symbol	MGI:1276533	Ncoa2	nuclear receptor coactivator 2	protein coding gene	1	-	13209329	13444307
Gm29570	current symbol	MGI:5580276	Gm29570	predicted gene 29570	lncRNA gene	1	+	13446294	13458637
Tram1	current symbol	MGI:1919515	Tram1	translocating chain-associating membrane protein 1	protein coding gene	1	-	13634922	13660134
Lactb2	current symbol	MGI:2442551	Lactb2	lactamase, beta 2	protein coding gene	1	-	13696117	13731424
Xkr9	current symbol	MGI:2686466	Xkr9	X-linked Kx blood group related 9	protein coding gene	1	+	13738995	13771947
Eya1	current symbol	MGI:109344	Eya1	EYA transcriptional coactivator and phosphatase 1	protein coding gene	1	-	14239178	14380459
Gm9947	current symbol	MGI:3642739	Gm9947	predicted gene 9947	lncRNA gene	1	+	14823161	14847155
Msc	current symbol	MGI:1333884	Msc	musculin	protein coding gene	1	-	14823570	14826190
Trpa1	current symbol	MGI:3522699	Trpa1	transient receptor potential cation channel, subfamily A, member 1	protein coding gene	1	-	14942872	14989086
Kcnb2	current symbol	MGI:99632	Kcnb2	potassium voltage gated channel, Shab-related subfamily, member 2	protein coding gene	1	+	15357478	15793974
Terf1	current symbol	MGI:109634	Terf1	telomeric repeat binding factor 1	protein coding gene	1	+	15875870	15914276
Sbspon	current symbol	MGI:2684952	Sbspon	somatomedin B and thrombospondin, type 1 domain containing	protein coding gene	1	-	15924086	15962946
4930444P10Rik	current symbol	MGI:1923049	4930444P10Rik	RIKEN cDNA 4930444P10 gene	protein coding gene	1	-	16136203	16163549
Rpl7	current symbol	MGI:98073	Rpl7	ribosomal protein L7	protein coding gene	1	-	16171519	16174657
Rdh10	current symbol	MGI:1924238	Rdh10	retinol dehydrogenase 10 (all-trans)	protein coding gene	1	+	16176106	16202774
Gm28095	current symbol	MGI:5578801	Gm28095	predicted gene 28095	lncRNA gene	1	+	16298730	16314286
Stau2	current symbol	MGI:1352508	Stau2	staufen double-stranded RNA binding protein 2	protein coding gene	1	-	16298898	16590336
Gm7568	current symbol	MGI:3649156	Gm7568	predicted gene 7568	lncRNA gene	1	+	16323811	16333749
Ube2w	current symbol	MGI:1914049	Ube2w	ubiquitin-conjugating enzyme E2W (putative)	protein coding gene	1	-	16611012	16689676
Eloc	current symbol	MGI:1915173	Eloc	elongin C	protein coding gene	1	-	16711949	16727266
D030040B21Rik	current symbol	MGI:4437728	D030040B21Rik	RIKEN cDNA D030040B21 gene	lncRNA gene	1	+	16727776	16732502
Tmem70	current symbol	MGI:1915068	Tmem70	transmembrane protein 70	protein coding gene	1	+	16735431	16748499
Ly96	current symbol	MGI:1341909	Ly96	lymphocyte antigen 96	protein coding gene	1	+	16758680	16779829
Gm28376	current symbol	MGI:5579082	Gm28376	predicted gene 28376	lncRNA gene	1	+	16968409	17161855
Jph1	current symbol	MGI:1891495	Jph1	junctophilin 1	protein coding gene	1	-	17034784	17168113
Gm28783	current symbol	MGI:5579489	Gm28783	predicted gene 28783	lncRNA gene	1	+	17194971	17199180
Gdap1	current symbol	MGI:1338002	Gdap1	ganglioside-induced differentiation-associated-protein 1	protein coding gene	1	+	17215586	17234495
Gm28784	current symbol	MGI:5579490	Gm28784	predicted gene 28784	lncRNA gene	1	+	17238627	17243327
Pi15	current symbol	MGI:1934659	Pi15	peptidase inhibitor 15	protein coding gene	1	+	17672125	17701163
Gm28154	current symbol	MGI:5578860	Gm28154	predicted gene 28154	lncRNA gene	1	-	17685308	17711305
Gm16070	current symbol	MGI:3801761	Gm16070	predicted gene 16070	lncRNA gene	1	-	17746251	17797870
Crispld1	current symbol	MGI:1934666	Crispld1	cysteine-rich secretory protein LCCL domain containing 1	protein coding gene	1	+	17797269	17836568
Gm28153	current symbol	MGI:5578859	Gm28153	predicted gene 28153	lncRNA gene	1	-	17812139	17875641
Gm28756	current symbol	MGI:5579462	Gm28756	predicted gene 28756	lncRNA gene	1	-	18064686	18129280
Crisp4	current symbol	MGI:1925331	Crisp4	cysteine-rich secretory protein 4	protein coding gene	1	-	18185415	18216126
Defb18	current symbol	MGI:3648148	Defb18	defensin beta 18	protein coding gene	1	-	18306697	18307667
Defb41	current symbol	MGI:1924923	Defb41	defensin beta 41	protein coding gene	1	-	18321204	18335362
Gm15825	current symbol	MGI:3801887	Gm15825	predicted gene 15825	lncRNA gene	1	-	19133524	19175064
Tfap2d	current symbol	MGI:2153466	Tfap2d	transcription factor AP-2, delta	protein coding gene	1	+	19173246	19236570
Tfap2b	current symbol	MGI:104672	Tfap2b	transcription factor AP-2 beta	protein coding gene	1	+	19279138	19308800
Gm28340	current symbol	MGI:5579046	Gm28340	predicted gene 28340	lncRNA gene	1	+	19312949	19313993
Pkhd1	current symbol	MGI:2155808	Pkhd1	polycystic kidney and hepatic disease 1	protein coding gene	1	-	20128003	20688288
4930486I03Rik	current symbol	MGI:1922278	4930486I03Rik	RIKEN cDNA 4930486I03 gene	lncRNA gene	1	+	20426678	20462524
Gm28653		No associated gene							
Il17a	current symbol	MGI:107364	Il17a	interleukin 17A	protein coding gene	1	+	20801129	20804720
Il17f	current symbol	MGI:2676631	Il17f	interleukin 17F	protein coding gene	1	-	20847370	20855498
Mcm3	current symbol	MGI:101845	Mcm3	minichromosome maintenance complex component 3	protein coding gene	1	-	20873192	20890536
Gm28065	current symbol	MGI:5578771	Gm28065	predicted gene 28065	lncRNA gene	1	+	20906885	20909913
6720483E21Rik	current symbol	MGI:1924991	6720483E21Rik	RIKEN cDNA 6720483E21 gene	lncRNA gene	1	-	20958874	20960697
Paqr8	current symbol	MGI:1921479	Paqr8	progestin and adipoQ receptor family member VIII	protein coding gene	1	+	20960830	21009874
Efhc1	current symbol	MGI:1919127	Efhc1	EF-hand domain (C-terminal) containing 1	protein coding gene	1	+	21021850	21061065
Tram2	current symbol	MGI:1924817	Tram2	translocating chain-associating membrane protein 2	protein coding gene	1	-	21071621	21149449
Gm28287	current symbol	MGI:5578993	Gm28287	predicted gene 28287	lncRNA gene	1	+	21150338	21151972
Tmem14a	current symbol	MGI:1922962	Tmem14a	transmembrane protein 14A	protein coding gene	1	+	21288799	21300391
Gsta3	current symbol	MGI:95856	Gsta3	glutathione S-transferase, alpha 3	protein coding gene	1	+	21310789	21335799
Gm28836	current symbol	MGI:5579542	Gm28836	predicted gene 28836	lncRNA gene	1	-	21320583	21341817
Khdc1a	current symbol	MGI:2676610	Khdc1a	KH domain containing 1A	protein coding gene	1	+	21419901	21422423
Khdc1c	current symbol	MGI:3583007	Khdc1c	KH domain containing 1C	protein coding gene	1	+	21438555	21439967
Khdc1b	current symbol	MGI:2138477	Khdc1b	KH domain containing 1B	protein coding gene	1	+	21453780	21456597
Kcnq5	current symbol	MGI:1924937	Kcnq5	potassium voltage-gated channel, subfamily Q, member 5	protein coding gene	1	-	21468627	22032166
Rims1	current symbol	MGI:2152971	Rims1	regulating synaptic membrane exocytosis 1	protein coding gene	1	-	22356475	22845203
Gm29506	current symbol	MGI:5580212	Gm29506	predicted gene 29506	lncRNA gene	1	-	23267574	23274739
4933415F23Rik		No associated gene							
Gm27028	current symbol	MGI:5504143	Gm27028	predicted gene, 27028	lncRNA gene	1	+	23330618	23331016
Gm29107	current symbol	MGI:5579813	Gm29107	predicted gene 29107	lncRNA gene	1	+	23332810	23333156
Ogfrl1	current symbol	MGI:1917405	Ogfrl1	opioid growth factor receptor-like 1	protein coding gene	1	-	23405505	23422282
Gm28822	current symbol	MGI:5579528	Gm28822	predicted gene 28822	lncRNA gene	1	+	23613668	23635745
B3gat2	current symbol	MGI:2389490	B3gat2	beta-1,3-glucuronyltransferase 2	protein coding gene	1	+	23801007	23886946
Smap1	current symbol	MGI:2138261	Smap1	small ArfGAP 1	protein coding gene	1	-	23883927	23961398
Sdhaf4	current symbol	MGI:1915252	Sdhaf4	succinate dehydrogenase complex assembly factor 4	protein coding gene	1	-	24035020	24044721
Fam135a	current symbol	MGI:1915437	Fam135a	family with sequence similarity 135, member A	protein coding gene	1	-	24050174	24139422
Col9a1	current symbol	MGI:88465	Col9a1	collagen, type IX, alpha 1	protein coding gene	1	+	24216691	24291765
Col19a1	current symbol	MGI:1095415	Col19a1	collagen, type XIX, alpha 1	protein coding gene	1	-	24300971	24626553
Lmbrd1	current symbol	MGI:1915671	Lmbrd1	LMBR1 domain containing 1	protein coding gene	1	+	24717711	24805382
Gm28237	current symbol	MGI:5578943	Gm28237	predicted gene 28237	lncRNA gene	1	-	25002290	25004239
Gm29414	current symbol	MGI:5580120	Gm29414	predicted gene 29414	lncRNA gene	1	-	25065662	25066313
Adgrb3	current symbol	MGI:2441837	Adgrb3	adhesion G protein-coupled receptor B3	protein coding gene	1	-	25106557	25868788
4931408C20Rik	current symbol	MGI:3588222	4931408C20Rik	RIKEN cDNA 4931408C20 gene	protein coding gene	1	-	26720895	26726541
Gm5524	current symbol	MGI:3646041	Gm5524	predicted gene 5524	lncRNA gene	1	+	27923127	27941268
Gm597	current symbol	MGI:2685443	Gm597	predicted gene 597	protein coding gene	1	-	28815203	28819333
Gm9898	current symbol	MGI:3642391	Gm9898	predicted gene 9898	lncRNA gene	1	-	30757641	30759043
