"mgi_symbol"	"ensembl_gene_id"	"chromosome_name"	"start_position"	"end_position"
"1"	"0610009E02Rik"	"ENSMUSG00000086714"	"2"	26335708	26349408
"2"	"0610039K10Rik"	"ENSMUSG00000058812"	"2"	163486770	163487721
"3"	"1110002O04Rik"	"ENSMUSG00000102531"	"1"	35918926	35920200
"4"	"1110015O18Rik"	"ENSMUSG00000098659"	"3"	4862388	4879971
"5"	"1110018N20Rik"	"ENSMUSG00000085151"	"2"	167030622	167034728
"6"	"1200007C13Rik"	"ENSMUSG00000087684"	"2"	167669613	167675566
"7"	"1600012P17Rik"	"ENSMUSG00000047661"	"1"	158795271	158808033
"8"	"1700001O22Rik"	"ENSMUSG00000044320"	"2"	30684781	30693673
"9"	"1700003F12Rik"	"ENSMUSG00000038523"	"2"	154389005	154391923
"10"	"1700003I22Rik"	"ENSMUSG00000100372"	"1"	56058137	56059362
"11"	"1700007F19Rik"	"ENSMUSG00000100666"	"3"	58049128	58071228
"12"	"1700007M16Rik"	"ENSMUSG00000086613"	"2"	171075929	171080911
"13"	"1700007P06Rik"	"ENSMUSG00000089730"	"1"	186857335	186860049
"14"	"1700008P02Rik"	"ENSMUSG00000069118"	"3"	6680478	6685503
"15"	"1700010B08Rik"	"ENSMUSG00000057047"	"2"	173561208	173563882
"16"	"1700010I02Rik"	"ENSMUSG00000100010"	"3"	7990363	8019949
"17"	"1700012E03Rik"	"ENSMUSG00000101275"	"1"	120363534	120366184
"18"	"1700016C15Rik"	"ENSMUSG00000015962"	"1"	177557380	177580890
"19"	"1700016L21Rik"	"ENSMUSG00000101483"	"1"	80405912	80457752
"20"	"1700017G19Rik"	"ENSMUSG00000037884"	"3"	40559016	40577061
"21"	"1700017J07Rik"	"ENSMUSG00000086348"	"2"	168820188	168820826
"22"	"1700017M07Rik"	"ENSMUSG00000105651"	"3"	35310611	35330280
"23"	"1700018B24Rik"	"ENSMUSG00000037910"	"3"	48560167	48563537
"24"	"1700019A02Rik"	"ENSMUSG00000060715"	"1"	53197736	53226795
"25"	"1700019D03Rik"	"ENSMUSG00000043629"	"1"	52961483	53059338
"26"	"1700019E08Rik"	"ENSMUSG00000086202"	"2"	45586617	45588459
"27"	"1700019P21Rik"	"ENSMUSG00000099808"	"1"	138804010	138804689
"28"	"1700020A23Rik"	"ENSMUSG00000027409"	"2"	130247179	130247994
"29"	"1700020N18Rik"	"ENSMUSG00000100253"	"1"	91332601	91333751
"30"	"1700021F07Rik"	"ENSMUSG00000027518"	"2"	173364379	173370294
"31"	"1700023G09Rik"	"ENSMUSG00000103503"	"1"	186659130	186662309
