Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Chr	Strand	Start	End	Ensembl ID
2610301B20Rik	old symbol	MGI:1914407	Cfap418	cilia and flagella associated protein 418	protein coding gene	4	+	10874498	10899425	ENSMUSG00000059482
Fam92a	old symbol	MGI:1915349	Cibar1	CBY1 interacting BAR domain containing 1	protein coding gene	4	-	12153409	12172015	ENSMUSG00000028218
Ddx58	old symbol	MGI:2442858	Rigi	RNA sensor RIG-I	protein coding gene	4	-	40203773	40239828	ENSMUSG00000040296
Dnaic1	old symbol	MGI:1916172	Dnai1	dynein axonemal intermediate chain 1	protein coding gene	4	+	41569775	41638158	ENSMUSG00000061322
Gm21541	old symbol	MGI:5434896	Ccl21d	C-C motif chemokine ligand 21D	protein coding gene	4	+	41903610	41904743	ENSMUSG00000094065
Fam214b	old symbol	MGI:2441854	Atosb	atos homolog B	protein coding gene	4	-	43032414	43046220	ENSMUSG00000036002
Olfr70	old symbol	MGI:1860079	Or13e8	olfactory receptor family 13 subfamily E member 8	protein coding gene	4	-	43695000	43700807	ENSMUSG00000050215
Olfr71	old symbol	MGI:1860080	Or13j1	olfactory receptor family 13 subfamily J member 1	protein coding gene	4	-	43705628	43706566	ENSMUSG00000046450
Olfr159	old symbol	MGI:1352686	Or13c7d	olfactory receptor family 13 subfamily C member 7D	protein coding gene	4	-	43770050	43771009	ENSMUSG00000044801
Olfr156	old symbol	MGI:1352683	Or13c7b	olfactory receptor family 13 subfamily C member 7B	protein coding gene	4	-	43820335	43821433	ENSMUSG00000110970
Olfr157	old symbol	MGI:1352684	Or13c7c	olfactory receptor family 13 subfamily C member 7C	protein coding gene	4	-	43834752	43837643	ENSMUSG00000111611
Olfr155	old symbol	MGI:1352681	Or13c7	olfactory receptor family 13 subfamily C member 7	protein coding gene	4	+	43854292	43855463	ENSMUSG00000071000
Tmem246	old symbol	MGI:1914313	Pgap4	post-GPI attachment to proteins GalNAc transferase 4	protein coding gene	4	-	49584506	49597876	ENSMUSG00000039611
Olfr275	old symbol	MGI:3030109	Or13f5	olfactory receptor family 13 subfamily F member 5	protein coding gene	4	+	52825399	52826358	ENSMUSG00000089717
Olfr273	old symbol	MGI:3030107	Or13c3	olfactory receptor family 13 subfamily C member 3	protein coding gene	4	-	52855558	52856511	ENSMUSG00000049648
Olfr272	old symbol	MGI:3030106	Or13c25	olfactory receptor family 13 subfamily C member 25	protein coding gene	4	-	52910833	52911792	ENSMUSG00000051593
Olfr270	old symbol	MGI:3030104	Or13d1	olfactory receptor family 13 subfamily D member 1	protein coding gene	4	+	52970629	52971567	ENSMUSG00000070983
4930412L05Rik	old symbol	MGI:1921191	Lexis1	lipid responsive LXR-induced inhibitor of cholesterol synthesis 1	lncRNA gene	4	-	53205066	53217857	ENSMUSG00000087192
AI427809	old symbol	MGI:2140270	Mexis	macrophage expressed LXRa(NR1H3)-dependent amplifier of Abca1 transcription lncRNA	lncRNA gene	4	-	53261356	53270232	ENSMUSG00000086712
AI427809	Genbank	MGI:2140270	Mexis	macrophage expressed LXRa(NR1H3)-dependent amplifier of Abca1 transcription lncRNA	lncRNA gene	4	-	53261356	53270232	ENSMUSG00000086712
